Unnamed: 0.1,시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
1569,2022,포항,12R,서울(A),4,박승욱,DF,14,96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,21,84,0,12,8,67,3,3,100.0,10,10,100.0,0,0,0.0,14,11,78.6,11,10,90.9,3,2,66.7,12,10,83.3,10,9,90.0,0,0,0.0,0,2,0,0.0,1,1,100.0,1,0,0.0,9,5,2,2,7,1,1,1,0,0,2022,서울(A),4,right,CB2,정발
1570,2022,포항,12R,서울(A),5,김용환,DF,13,96,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,33,30,91,0,20,17,85,4,4,100.0,9,9,100.0,14,13,92.9,8,7,87.5,11,10,90.9,1,0,0.0,7,6,85.7,25,24,96.0,3,0,0.0,0,4,0,0.0,2,1,50.0,6,1,16.7,5,0,2,3,2,1,3,0,0,0,2022,서울(A),5,,RB,정발x
1585,2022,포항,13R,전북(H),2,박찬용,DF,20,97,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,65,52,80,0,35,23,66,1,1,100.0,29,28,96.6,0,0,0.0,29,22,75.9,36,30,83.3,17,8,47.1,29,27,93.1,19,17,89.5,0,0,0.0,0,2,1,50.0,9,5,55.6,0,0,0.0,5,7,2,5,7,0,1,0,0,0,2022,전북(H),2,right,CB1,정발x
1586,2022,포항,13R,전북(H),3,박승욱,DF,14,97,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,71,70,99,1,26,25,96,4,4,100.0,41,41,100.0,2,2,100.0,29,28,96.6,40,40,100.0,7,7,100.0,40,39,97.5,24,24,100.0,0,0,0.0,0,7,5,71.4,14,5,35.7,1,1,100.0,8,4,5,3,5,0,0,2,0,0,2022,전북(H),3,right,CB2,정발
1587,2022,포항,13R,전북(H),4,심상민,DF,2,97,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,60,59,98,3,21,20,95,18,18,100.0,21,21,100.0,16,16,100.0,14,13,92.9,30,30,100.0,5,5,100.0,19,19,100.0,36,35,97.2,9,2,22.2,0,2,1,50.0,2,1,50.0,2,2,100.0,2,4,1,6,4,0,0,2,0,0,2022,전북(H),4,left,LB,정발
1588,2022,포항,13R,전북(H),5,김용환,DF,13,48,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,32,24,75,0,19,11,58,6,6,100.0,7,7,100.0,6,4,66.7,11,10,90.9,15,10,66.7,3,1,33.3,12,11,91.7,17,12,70.6,1,0,0.0,0,2,1,50.0,1,1,100.0,3,1,33.3,1,3,0,7,1,0,3,0,0,0,2022,전북(H),5,,RB,정발x
1603,2022,포항,14R,인천(H),2,박찬용,DF,20,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,83,0,9,6,67,2,2,100.0,7,7,100.0,0,0,0.0,9,8,88.9,9,7,77.8,7,5,71.4,8,7,87.5,3,3,100.0,0,0,0.0,0,2,0,0.0,9,6,66.7,1,0,0.0,13,6,1,3,2,0,1,0,1,0,2022,인천(H),2,right,CB1,정발x
1604,2022,포항,14R,인천(H),3,신광훈,DF,17,96,0,0,1,0,0,1,0,1,0,0,0,9,0,0,0,45,33,73,0,26,15,58,7,7,100.0,12,11,91.7,7,6,85.7,11,6,54.6,27,21,77.8,5,2,40.0,22,17,77.3,18,14,77.8,0,0,0.0,0,2,0,0.0,4,3,75.0,1,0,0.0,8,4,2,9,1,0,3,2,1,0,2022,인천(H),3,right,RB,정발
1605,2022,포항,14R,인천(H),4,심상민,DF,2,96,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,58,52,90,0,31,25,81,13,13,100.0,14,14,100.0,19,18,94.7,14,10,71.4,25,24,96.0,5,3,60.0,20,17,85.0,33,32,97.0,2,0,0.0,0,4,2,50.0,1,0,0.0,3,1,33.3,5,0,2,5,1,0,0,0,0,0,2022,인천(H),4,left,LB,정발
1606,2022,포항,14R,인천(H),5,박승욱,DF,14,96,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,36,31,86,0,20,16,80,6,6,100.0,10,9,90.0,0,0,0.0,21,17,81.0,15,14,93.3,7,6,85.7,16,15,93.8,13,10,76.9,0,0,0.0,1,5,2,40.0,5,2,40.0,2,1,50.0,10,7,2,2,2,1,2,1,0,0,2022,인천(H),5,right,CB2,정발
1621,2022,포항,15R,대구(A),2,심상민,DF,2,95,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,53,42,79,2,29,19,66,14,13,92.9,10,10,100.0,12,10,83.3,8,6,75.0,33,26,78.8,8,5,62.5,19,13,68.4,26,24,92.3,6,2,33.3,1,2,0,0.0,1,0,0.0,1,0,0.0,3,6,1,9,1,0,0,4,0,0,2022,대구(A),2,left,LB,정발
1622,2022,포항,15R,대구(A),3,그랜트,DF,5,95,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,41,33,80,0,23,15,65,3,3,100.0,15,15,100.0,0,0,0.0,15,12,80.0,26,21,80.8,9,4,44.4,18,17,94.4,14,12,85.7,0,0,0.0,0,1,0,0.0,11,11,100.0,0,0,0.0,8,4,3,1,7,0,2,0,0,0,2022,대구(A),3,,CB1,정발x
1623,2022,포항,15R,대구(A),4,박승욱,DF,14,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,36,95,0,28,26,93,2,2,100.0,8,8,100.0,1,1,100.0,19,17,89.5,18,18,100.0,7,6,85.7,16,15,93.8,15,15,100.0,0,0,0.0,0,7,2,28.6,1,0,0.0,5,0,0.0,6,3,3,4,3,0,1,0,0,0,2022,대구(A),4,right,CB2,정발
1624,2022,포항,15R,대구(A),5,신광훈,DF,17,95,0,0,1,0,0,1,0,1,0,3,0,9,0,0,0,57,44,77,1,36,24,67,10,10,100.0,11,10,90.9,20,18,90.0,10,4,40.0,27,22,81.5,3,1,33.3,18,16,88.9,36,27,75.0,7,2,28.6,0,4,2,50.0,7,1,14.3,5,2,40.0,3,3,5,2,3,0,2,2,0,0,2022,대구(A),5,right,RB,정발
1639,2022,포항,16R,강원(H),2,심상민,DF,2,77,0,0,0,0,0,0,0,0,0,1,0,5,1,1,100,30,24,80,0,14,8,57,8,8,100.0,8,8,100.0,5,5,100.0,11,7,63.6,14,12,85.7,4,2,50.0,6,4,66.7,20,18,90.0,1,0,0.0,0,1,1,100.0,0,0,0.0,2,1,50.0,3,1,3,2,6,0,1,1,0,0,2022,강원(H),2,left,LB,정발
1640,2022,포항,16R,강원(H),3,박승욱,DF,14,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,45,82,0,30,20,67,8,8,100.0,17,17,100.0,1,1,100.0,38,31,81.6,16,13,81.2,9,4,44.4,24,21,87.5,22,20,90.9,0,0,0.0,0,6,2,33.3,3,2,66.7,4,1,25.0,6,9,3,4,3,0,1,0,0,0,2022,강원(H),3,right,CB2,정발
1641,2022,포항,16R,강원(H),4,신광훈,DF,17,94,0,1,0,0,0,0,0,0,0,1,0,12,0,0,0,48,37,77,1,23,14,61,6,6,100.0,19,17,89.5,8,6,75.0,18,15,83.3,22,16,72.7,8,5,62.5,19,15,79.0,21,17,81.0,2,1,50.0,0,1,0,0.0,0,0,0.0,1,0,0.0,3,5,1,2,2,2,2,1,0,0,2022,강원(H),4,right,RB,정발
1642,2022,포항,16R,강원(H),5,그랜트,DF,5,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,31,84,1,18,12,67,1,1,100.0,18,18,100.0,0,0,0.0,23,20,87.0,14,11,78.6,5,4,80.0,18,13,72.2,14,14,100.0,0,0,0.0,0,1,1,100.0,5,2,40.0,2,1,50.0,12,4,1,6,0,0,1,0,0,0,2022,강원(H),5,,CB1,정발x
1657,2022,포항,17R,수원FC(A),2,그랜트,DF,5,94,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,60,55,92,0,29,26,90,2,2,100.0,29,27,93.1,1,0,0.0,16,15,93.8,43,40,93.0,9,7,77.8,28,28,100.0,23,20,87.0,0,0,0.0,1,4,3,75.0,9,8,88.9,0,0,0.0,10,6,4,1,3,0,0,0,0,0,2022,수원FC(A),2,,CB1,정발x
1658,2022,포항,17R,수원FC(A),3,박찬용,DF,20,94,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,54,47,87,0,23,16,70,4,4,100.0,27,27,100.0,0,0,0.0,29,24,82.8,25,23,92.0,7,1,14.3,25,24,96.0,22,22,100.0,0,0,0.0,0,5,1,20.0,6,2,33.3,3,0,0.0,8,4,2,2,1,0,0,1,0,0,2022,수원FC(A),3,right,CB2,정발x
