시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2023,서울,26R,대전(A),5,이태석,DF,88,77,0,0,0,0,0,0,0,0,0,0,0,6,1,1,100,43,30,70,2,15,5,33,18,17,94.4,10,8,80.0,19,12,63.2,4,2,50.0,20,16,80.0,4,1,25.0,9,5,55.6,30,24,80.0,6,2,33.3,0,0,0,0.0,4,2,50.0,1,1,100.0,2,1,0,5,2,0,0,1,0,0,2023,대전(A),5,left,LB,정발
2023,서울,27R,대구(H),2,박수일,DF,96,100,0,0,1,1,0,0,0,1,0,0,0,8,1,1,100,66,53,80,0,22,12,55,17,17,100.0,27,24,88.9,18,14,77.8,10,6,60.0,38,33,86.8,7,4,57.1,24,16,66.7,35,33,94.3,1,0,0.0,1,0,0,0.0,1,1,100.0,3,1,33.3,3,2,3,6,0,1,1,0,0,0,2023,대구(H),2,right,RB,정발
2023,서울,27R,대구(H),3,이태석,DF,88,65,0,0,1,0,0,1,0,1,0,0,0,8,1,0,0,25,19,76,0,10,5,50,8,8,100.0,7,6,85.7,10,7,70.0,0,0,0.0,15,12,80.0,5,2,40.0,8,6,75.0,12,11,91.7,2,0,0.0,0,2,1,50.0,3,1,33.3,2,0,0.0,3,1,4,4,1,0,0,0,0,0,2023,대구(H),3,left,LB,정발
2023,서울,27R,대구(H),4,김주성,DF,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,54,96,0,22,21,96,2,2,100.0,32,31,96.9,0,0,0.0,9,9,100.0,47,45,95.7,3,2,66.7,19,19,100.0,34,33,97.1,0,0,0.0,0,0,0,0.0,5,4,80.0,1,0,0.0,11,0,2,1,2,0,0,0,0,0,2023,대구(H),4,left,CB1,정발
2023,서울,27R,대구(H),5,이한범,DF,4,100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,77,72,94,0,33,28,85,1,1,100.0,43,43,100.0,0,0,0.0,21,18,85.7,56,54,96.4,3,2,66.7,38,36,94.7,36,34,94.4,0,0,0.0,0,2,2,100.0,9,5,55.6,1,0,0.0,10,4,2,2,3,0,0,1,0,0,2023,대구(H),5,right,CB2,정발
2023,서울,28R,울산(H),2,박수일,DF,96,102,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,37,29,78,1,15,9,60,13,12,92.3,9,8,88.9,15,12,80.0,12,10,83.3,10,7,70.0,6,4,66.7,11,9,81.8,20,16,80.0,2,1,50.0,0,1,1,100.0,5,1,20.0,2,1,50.0,5,1,2,1,2,3,2,1,1,0,2023,울산(H),2,right,RB,정발
2023,서울,28R,울산(H),3,김주성,DF,30,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,95,0,19,17,90,5,5,100.0,16,16,100.0,0,0,0.0,20,19,95.0,20,19,95.0,4,3,75.0,14,14,100.0,22,21,95.4,0,0,0.0,0,1,1,100.0,6,2,33.3,1,1,100.0,4,3,2,6,2,1,1,0,0,0,2023,울산(H),3,left,CB1,정발
2023,서울,28R,울산(H),4,이태석,DF,88,71,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,13,76,1,9,5,56,4,4,100.0,4,4,100.0,7,5,71.4,4,3,75.0,6,5,83.3,3,2,66.7,5,3,60.0,9,8,88.9,2,2,100.0,1,0,0,0.0,1,0,0.0,1,0,0.0,2,1,2,2,0,0,3,0,1,0,2023,울산(H),4,left,LB,정발
2023,서울,28R,울산(H),5,오스마르,DF,5,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78,73,94,0,42,38,91,9,9,100.0,27,26,96.3,2,2,100.0,34,31,91.2,42,40,95.2,9,7,77.8,35,34,97.1,34,32,94.1,0,0,0.0,0,0,0,0.0,8,2,25.0,2,0,0.0,7,5,0,6,3,0,1,0,0,0,2023,울산(H),5,left,CB2,정발x
2023,서울,31R,제주(A),2,박수일,DF,96,99,0,1,0,0,0,0,0,0,0,0,0,6,2,1,50,41,33,80,2,16,8,50,13,13,100.0,12,12,100.0,12,9,75.0,10,7,70.0,19,17,89.5,1,0,0.0,11,7,63.6,29,26,89.7,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,3,4,1,1,0,3,0,0,2023,제주(A),2,right,RB,정발
