시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,탈압박,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2021,울산,19R,제주(A),5,홍철,DF,33,97,0,0,0,0,0,0,0,0,0,1,0,10,1,1,100,71,59,83,1,24,17,71,26,25,96.2,21,17,81.0,14,10,71.4,15,14,93.3,42,35,83.3,9,4,44.4,22,18,81.8,40,37,92.5,3,0,0.0,4,1,25.0,1,0,0.0,0,0,0.0,1,1,2,8,0,1,0,2,0,0,0,2021.0,제주(A),5.0,left,LB,정발
2021,울산,20R,대구(H),2,김태환,DF,23,98,0,0,0,0,0,0,0,0,0,3,0,2,2,2,100,60,49,82,1,13,10,77,19,19,100.0,28,20,71.4,21,12,57.1,9,8,88.9,30,29,96.7,8,3,37.5,19,15,79.0,33,31,93.9,7,0,0.0,5,3,60.0,1,0,0.0,1,1,100.0,0,0,4,4,0,0,1,1,0,0,0,2021.0,대구(H),2.0,right,RB,정발
2021,울산,20R,대구(H),3,김기희,DF,44,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57,53,93,0,24,20,83,3,3,100.0,30,30,100.0,0,0,0.0,24,22,91.7,33,31,93.9,9,5,55.6,24,24,100.0,24,24,100.0,0,0,0.0,2,1,50.0,4,3,75.0,0,0,0.0,2,3,2,10,0,0,0,0,0,0,0,2021.0,대구(H),3.0,right,CB2,정발
2021,울산,20R,대구(H),4,불투이스,DF,4,98,0,0,2,0,0,2,2,0,0,1,0,0,0,0,0,47,41,87,0,25,20,80,4,4,100.0,18,17,94.4,0,0,0.0,19,17,89.5,28,24,85.7,9,5,55.6,18,18,100.0,20,18,90.0,0,0,0.0,2,2,100.0,7,3,42.9,0,0,0.0,2,2,5,5,0,0,2,0,0,0,0,2021.0,대구(H),4.0,left,CB1,정발
2021,울산,20R,대구(H),5,홍철,DF,33,80,0,0,0,0,0,0,0,0,0,2,2,8,0,0,0,63,51,81,2,23,15,65,20,20,100.0,20,16,80.0,31,23,74.2,8,6,75.0,24,22,91.7,7,5,71.4,24,17,70.8,32,29,90.6,8,3,37.5,3,1,33.3,2,0,0.0,0,0,0.0,0,1,4,4,0,1,0,1,0,0,0,2021.0,대구(H),5.0,left,LB,정발
2021,울산,21R,수원FC(H),2,불투이스,DF,4,52,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,39,31,79,0,25,17,68,1,1,100.0,13,13,100.0,1,0,0.0,18,16,88.9,20,15,75.0,6,2,33.3,14,13,92.9,19,16,84.2,0,0,0.0,3,2,66.7,4,2,50.0,2,1,50.0,0,2,3,9,0,0,2,0,0,0,0,2021.0,수원FC(H),2.0,left,CB1,정발
2021,울산,21R,수원FC(H),3,홍철,DF,33,95,0,0,1,0,0,1,0,1,1,1,0,3,1,1,100,74,53,72,1,30,17,57,16,16,100.0,28,20,71.4,27,15,55.6,5,4,80.0,42,34,81.0,14,6,42.9,19,14,73.7,41,33,80.5,9,1,11.1,5,3,60.0,1,1,100.0,0,0,0.0,0,2,5,8,0,0,0,2,1,0,0,2021.0,수원FC(H),3.0,left,LB,정발
2021,울산,21R,수원FC(H),4,김기희,DF,44,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,49,91,0,32,28,88,2,2,100.0,20,19,95.0,0,0,0.0,25,20,80.0,29,29,100.0,9,9,100.0,24,22,91.7,21,18,85.7,0,0,0.0,8,3,37.5,6,1,16.7,0,0,0.0,1,1,5,14,1,0,1,0,0,0,0,2021.0,수원FC(H),4.0,right,CB2,정발
2021,울산,21R,수원FC(H),5,배재우,DF,2,73,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,49,40,82,0,23,15,65,10,10,100.0,16,15,93.8,7,6,85.7,10,5,50.0,32,29,90.6,3,0,0.0,19,15,79.0,27,25,92.6,1,0,0.0,3,1,33.3,0,0,0.0,0,0,0.0,1,0,2,7,0,0,2,2,0,0,0,2021.0,수원FC(H),5.0,,,정발x
2021,울산,22R,서울(A),2,홍철,DF,33,76,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,76,63,83,1,27,15,56,30,30,100.0,19,18,94.7,25,20,80.0,5,3,60.0,46,40,87.0,13,5,38.5,17,16,94.1,46,42,91.3,5,0,0.0,4,1,25.0,3,1,33.3,1,0,0.0,2,0,3,8,0,1,0,1,0,0,0,2021.0,서울(A),2.0,left,LB,정발
